Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Month,Dates
82 F,77 F,84 %,CALM,0 mph,0 mph,30.00 in,0.0 in,Fog,01,2020-01-02
75 F,75 F,100 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-02
86 F,73 F,66 %,ESE,8 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,12 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,10 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,10 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-03
86 F,73 F,66 %,SE,8 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,SE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
84 F,75 F,74 %,ESE,8 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
82 F,77 F,84 %,E,6 mph,0 mph,29.89 in,0.0 in,Fair,01,2020-01-03
82 F,77 F,84 %,ESE,7 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-03
82 F,77 F,84 %,E,7 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-03
82 F,77 F,84 %,ESE,8 mph,0 mph,29.86 in,0.0 in,Fair,01,2020-01-03
82 F,77 F,84 %,ESE,8 mph,0 mph,29.89 in,0.0 in,Fair,01,2020-01-03
82 F,77 F,84 %,ESE,7 mph,0 mph,29.89 in,0.0 in,Fair,01,2020-01-03
82 F,77 F,84 %,ESE,7 mph,0 mph,29.89 in,0.0 in,Fair,01,2020-01-03
81 F,77 F,89 %,ESE,5 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-03
81 F,77 F,89 %,ESE,5 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-03
81 F,77 F,89 %,ESE,5 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-03
82 F,77 F,84 %,ESE,8 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-03
88 F,73 F,62 %,ESE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-03
86 F,75 F,70 %,SE,5 mph,0 mph,29.92 in,0.0 in,Haze,01,2020-01-03
88 F,77 F,70 %,ESE,7 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-03
81 F,77 F,89 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-03
81 F,77 F,89 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-03
81 F,77 F,89 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Fog,01,2020-01-03
79 F,77 F,94 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-03
79 F,77 F,94 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-03
77 F,77 F,100 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-03
77 F,77 F,100 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-03
77 F,77 F,100 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-03
77 F,77 F,100 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-03
77 F,75 F,94 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-03
81 F,77 F,89 %,E,3 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-03
77 F,77 F,100 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-03
77 F,75 F,94 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Fog,01,2020-01-03
77 F,77 F,100 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fog,01,2020-01-03
79 F,79 F,100 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fog,01,2020-01-03
81 F,81 F,100 %,VAR,2 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-03
82 F,79 F,89 %,W,3 mph,0 mph,29.97 in,0.0 in,Fog,01,2020-01-03
84 F,79 F,84 %,WSW,3 mph,0 mph,29.95 in,0.0 in,Fog,01,2020-01-03
84 F,77 F,79 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fog,01,2020-01-03
77 F,75 F,94 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-03
86 F,77 F,74 %,NE,3 mph,0 mph,29.95 in,0.0 in,Haze,01,2020-01-03
86 F,75 F,70 %,ESE,9 mph,0 mph,29.74 in,0.0 in,Fair,01,2020-01-04
86 F,75 F,70 %,ESE,9 mph,0 mph,29.74 in,0.0 in,Fair,01,2020-01-04
88 F,75 F,66 %,ESE,9 mph,0 mph,29.74 in,0.0 in,Partly Cloudy,01,2020-01-04
86 F,75 F,70 %,ESE,7 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,01,2020-01-04
88 F,75 F,66 %,SSE,8 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,01,2020-01-04
86 F,75 F,70 %,SSE,8 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,01,2020-01-04
86 F,75 F,70 %,ESE,9 mph,0 mph,29.77 in,0.0 in,Fair,01,2020-01-04
86 F,75 F,70 %,ESE,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-04
88 F,75 F,66 %,SE,10 mph,0 mph,29.74 in,0.0 in,Mostly Cloudy,01,2020-01-04
84 F,75 F,74 %,ESE,9 mph,0 mph,29.77 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,6 mph,0 mph,29.83 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,9 mph,0 mph,29.80 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,9 mph,0 mph,29.80 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,8 mph,0 mph,29.80 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,7 mph,0 mph,29.83 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,7 mph,0 mph,29.83 in,0.0 in,Fair,01,2020-01-04
82 F,77 F,84 %,ESE,6 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
82 F,77 F,84 %,ESE,6 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
82 F,77 F,84 %,ESE,6 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
88 F,75 F,66 %,S,3 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
82 F,77 F,84 %,ESE,6 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
82 F,77 F,84 %,ESE,9 mph,0 mph,29.77 in,0.0 in,Fair,01,2020-01-04
88 F,75 F,66 %,WSW,3 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
82 F,75 F,79 %,ESE,7 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
86 F,77 F,74 %,WNW,5 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-04
81 F,77 F,89 %,E,5 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
81 F,77 F,89 %,ESE,5 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
81 F,77 F,89 %,SE,3 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
81 F,77 F,89 %,S,3 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
79 F,77 F,94 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-04
79 F,77 F,94 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy,01,2020-01-04
79 F,77 F,94 %,VAR,2 mph,0 mph,29.80 in,0.0 in,Mostly Cloudy,01,2020-01-04
79 F,77 F,94 %,CALM,0 mph,0 mph,29.80 in,0.0 in,Fog,01,2020-01-04
79 F,77 F,94 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fog,01,2020-01-04
77 F,77 F,100 %,VAR,2 mph,0 mph,29.83 in,0.0 in,Fog,01,2020-01-04
81 F,77 F,89 %,ESE,5 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
77 F,77 F,100 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fog,01,2020-01-04
79 F,77 F,94 %,WSW,3 mph,0 mph,29.83 in,0.0 in,Fog,01,2020-01-04
86 F,77 F,74 %,WSW,6 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-04
84 F,79 F,84 %,WNW,3 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-04
82 F,79 F,89 %,W,5 mph,0 mph,29.92 in,0.0 in,Fog,01,2020-01-04
79 F,79 F,100 %,WSW,3 mph,0 mph,29.92 in,0.0 in,Fog,01,2020-01-04
88 F,75 F,66 %,W,3 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-04
77 F,77 F,100 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-04
77 F,77 F,100 %,W,3 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-04
77 F,77 F,100 %,W,2 mph,0 mph,29.86 in,0.0 in,Fog,01,2020-01-04
77 F,77 F,100 %,NW,3 mph,0 mph,29.83 in,0.0 in,Fog,01,2020-01-04
79 F,79 F,100 %,W,3 mph,0 mph,29.89 in,0.0 in,Fog,01,2020-01-04
86 F,73 F,66 %,ESE,8 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,73 F,66 %,ESE,7 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,73 F,66 %,SSE,8 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,73 F,66 %,ESE,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,73 F,66 %,ESE,8 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,75 F,74 %,SE,8 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,75 F,74 %,E,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,75 F,74 %,E,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,75 F,79 %,E,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,79 F,84 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,77 F,84 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,75 F,79 %,ENE,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,75 F,79 %,NE,5 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,75 F,84 %,ENE,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,75 F,84 %,ENE,7 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,75 F,84 %,NNW,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,75 F,84 %,NNW,7 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,75 F,70 %,SE,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,75 F,79 %,E,7 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,75 F,84 %,ENE,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,75 F,70 %,SE,10 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,75 F,70 %,SSE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,75 F,70 %,ESE,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,77 F,84 %,SE,3 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,77 F,84 %,SE,6 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
82 F,77 F,84 %,SE,6 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,77 F,89 %,E,3 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,77 F,89 %,ESE,5 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,75 F,84 %,SE,6 mph,0 mph,29.77 in,0.0 in,Fog,01,2020-01-05
81 F,77 F,89 %,SSE,5 mph,0 mph,29.77 in,0.0 in,Fog,01,2020-01-05
81 F,77 F,89 %,SSE,5 mph,0 mph,29.77 in,0.0 in,Fog,01,2020-01-05
81 F,77 F,89 %,SE,5 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,77 F,89 %,ESE,7 mph,0 mph,29.80 in,0.0 in,Light Drizzle,01,2020-01-05
84 F,77 F,79 %,SE,8 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,75 F,74 %,SE,8 mph,0 mph,29.89 in,0.0 in,Haze,01,2020-01-05
84 F,75 F,74 %,SE,10 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,75 F,74 %,SE,9 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-05
86 F,75 F,70 %,ESE,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-05
86 F,75 F,70 %,ESE,9 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-05
81 F,77 F,89 %,SSE,5 mph,0 mph,29.80 in,0.0 in,Fog,01,2020-01-05
86 F,75 F,70 %,ESE,9 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,01,2020-01-05
84 F,73 F,70 %,E,12 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
84 F,72 F,66 %,E,13 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
84 F,73 F,70 %,E,14 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
86 F,72 F,62 %,E,13 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
88 F,73 F,62 %,E,14 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-06
86 F,73 F,66 %,E,12 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
86 F,75 F,70 %,E,15 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-06
82 F,73 F,74 %,E,12 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
84 F,73 F,70 %,E,14 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy,01,2020-01-06
82 F,75 F,79 %,E,10 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-06
81 F,75 F,84 %,E,8 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-06
82 F,75 F,79 %,ENE,8 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-06
82 F,75 F,79 %,E,9 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-06
81 F,75 F,84 %,E,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-06
81 F,73 F,79 %,E,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-06
81 F,73 F,79 %,E,8 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-06
81 F,73 F,79 %,E,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-06
81 F,75 F,84 %,E,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,01,2020-01-06
81 F,75 F,84 %,E,8 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-06
81 F,75 F,84 %,E,7 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,01,2020-01-06
86 F,75 F,70 %,E,14 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-06
82 F,75 F,79 %,E,9 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy,01,2020-01-06
84 F,75 F,74 %,E,13 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-06
81 F,75 F,84 %,E,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,01,2020-01-06
82 F,77 F,84 %,N,3 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,01,2020-01-06
79 F,75 F,89 %,NNE,8 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-06
79 F,75 F,89 %,NNW,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,01,2020-01-06
