Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Month,Dates
11:30 ,82 F,64 F,54 %,WSW,5 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-03
12:00 ,81 F,66 F,61 %,WNW,2 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-03
12:30 ,75 F,68 F,78 %,VAR,3 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-03
13:00,77 F,72 F,83 %,NNE,7 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-03
13:30,75 F,73 F,94 %,N,5 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-03
14:00,75 F,72 F,89 %,NNE,7 mph,0 mph,28.17 in,0.0 in,Fair,01,2020-01-03
14:30,73 F,72 F,94 %,ENE,3 mph,0 mph,28.17 in,0.0 in,Fair,01,2020-01-03
15:00,73 F,72 F,94 %,NE,5 mph,0 mph,28.17 in,0.0 in,Fair,01,2020-01-03
15:30,73 F,72 F,94 %,NE,5 mph,0 mph,28.17 in,0.0 in,Fair,01,2020-01-03
01:30 ,68 F,66 F,94 %,CALM,0 mph,0 mph,28.14 in,0.0 in,Fog,01,2020-01-04
02:00 ,68 F,66 F,94 %,CALM,0 mph,0 mph,28.14 in,0.0 in,Fog,01,2020-01-04
02:30 ,70 F,66 F,88 %,VAR,3 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-04
03:00 ,70 F,66 F,88 %,VAR,3 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-04
03:30 ,72 F,68 F,88 %,NE,5 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-04
04:00 ,73 F,70 F,88 %,ENE,3 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-04
04:30 ,73 F,70 F,88 %,E,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-04
05:00 ,73 F,70 F,88 %,VAR,3 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-04
05:30 ,79 F,70 F,74 %,S,5 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-04
06:00 ,77 F,70 F,78 %,VAR,3 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-04
06:00 ,79 F,70 F,74 %,SSE,3 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-04
07:00 ,81 F,70 F,70 %,S,5 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-04
07:30 ,82 F,70 F,66 %,SSE,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
08:00 ,82 F,70 F,66 %,S,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
08:30 ,82 F,72 F,70 %,S,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
09:00 ,84 F,72 F,66 %,SSE,5 mph,0 mph,28.03 in,0.0 in,Haze,01,2020-01-04
09:30 ,82 F,72 F,70 %,CALM,0 mph,0 mph,28.03 in,0.0 in,Haze,01,2020-01-04
10:00 ,81 F,72 F,74 %,VAR,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
10:30 ,81 F,72 F,74 %,ENE,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
11:00 ,81 F,72 F,74 %,VAR,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
11:30 ,79 F,72 F,78 %,VAR,3 mph,0 mph,28.06 in,0.0 in,Haze,01,2020-01-04
12:00 ,77 F,72 F,83 %,E,5 mph,0 mph,28.06 in,0.0 in,Fog,01,2020-01-04
12:30 ,77 F,72 F,83 %,NE,5 mph,0 mph,28.09 in,0.0 in,Fog,01,2020-01-04
13:00,75 F,70 F,83 %,ENE,6 mph,0 mph,28.09 in,0.0 in,Fog,01,2020-01-04
13:30,73 F,70 F,88 %,ENE,12 mph,0 mph,28.09 in,0.0 in,Fog,01,2020-01-04
14:00,73 F,70 F,88 %,NNE,6 mph,0 mph,28.14 in,0.0 in,Fog,01,2020-01-04
14:30,73 F,68 F,83 %,NE,7 mph,0 mph,28.14 in,0.0 in,Fog,01,2020-01-04
15:00,72 F,68 F,88 %,ENE,5 mph,0 mph,28.14 in,0.0 in,Partly Cloudy,01,2020-01-04
15:30,72 F,68 F,88 %,NNE,6 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-04
16:00,72 F,68 F,88 %,ENE,6 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-04
04:00 ,72 F,64 F,78 %,ENE,9 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-05
05:00 ,73 F,66 F,78 %,E,8 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-05
05:30 ,73 F,66 F,78 %,NE,6 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-05
06:00 ,75 F,66 F,73 %,NE,6 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-05
06:00 ,77 F,66 F,69 %,E,8 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-05
07:00 ,79 F,66 F,65 %,E,6 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-05
07:30 ,79 F,66 F,65 %,E,6 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-05
08:00 ,81 F,66 F,61 %,E,7 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
08:30 ,81 F,66 F,61 %,NE,6 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
09:00 ,81 F,66 F,61 %,ENE,7 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
09:30 ,81 F,66 F,61 %,ENE,3 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
10:00 ,79 F,66 F,65 %,ENE,8 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
10:30 ,79 F,64 F,61 %,ENE,7 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
11:00 ,79 F,64 F,61 %,ENE,6 mph,0 mph,28.11 in,0.0 in,Partly Cloudy,01,2020-01-05
12:00 ,77 F,64 F,65 %,ENE,7 mph,0 mph,28.14 in,0.0 in,Partly Cloudy,01,2020-01-05
12:30 ,75 F,64 F,69 %,ENE,7 mph,0 mph,28.14 in,0.0 in,Partly Cloudy,01,2020-01-05
13:00,73 F,64 F,73 %,ENE,6 mph,0 mph,28.17 in,0.0 in,Partly Cloudy,01,2020-01-05
13:30,73 F,64 F,73 %,ENE,6 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-05
14:00,72 F,64 F,78 %,NE,7 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-05
14:30,72 F,64 F,78 %,NE,6 mph,0 mph,28.20 in,0.0 in,Partly Cloudy,01,2020-01-05
15:00,70 F,64 F,83 %,ENE,5 mph,0 mph,28.20 in,0.0 in,Fair,01,2020-01-05
15:30,70 F,64 F,83 %,ENE,5 mph,0 mph,28.20 in,0.0 in,Fair,01,2020-01-05
02:00 ,64 F,61 F,88 %,E,3 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-06
02:30 ,64 F,61 F,88 %,NE,2 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-06
04:00 ,70 F,64 F,83 %,E,3 mph,0 mph,28.28 in,0.0 in,Fog,01,2020-01-06
04:30 ,73 F,66 F,78 %,E,8 mph,0 mph,28.28 in,0.0 in,Fog,01,2020-01-06
05:00 ,73 F,66 F,78 %,E,9 mph,0 mph,28.28 in,0.0 in,Fog,01,2020-01-06
05:30 ,77 F,70 F,78 %,E,7 mph,0 mph,28.25 in,0.0 in,Partly Cloudy,01,2020-01-06
06:00 ,75 F,68 F,78 %,ESE,6 mph,0 mph,28.28 in,0.0 in,Partly Cloudy,01,2020-01-06
06:00 ,77 F,70 F,78 %,E,7 mph,0 mph,28.25 in,0.0 in,Partly Cloudy,01,2020-01-06
06:30 ,79 F,70 F,74 %,SE,5 mph,0 mph,28.22 in,0.0 in,Haze,01,2020-01-06
07:00 ,79 F,70 F,74 %,ESE,7 mph,0 mph,28.20 in,0.0 in,Haze,01,2020-01-06
07:30 ,81 F,70 F,70 %,ESE,7 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-06
08:00 ,81 F,70 F,70 %,E,7 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-06
08:30 ,81 F,70 F,70 %,VAR,5 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-06
09:00 ,81 F,70 F,70 %,ESE,5 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-06
09:30 ,81 F,70 F,70 %,ESE,5 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-06
10:00 ,79 F,70 F,74 %,SE,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-06
10:30 ,79 F,70 F,74 %,SE,7 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-06
11:00 ,77 F,70 F,78 %,SE,7 mph,0 mph,28.17 in,0.0 in,Mostly Cloudy,01,2020-01-06
11:30 ,77 F,70 F,78 %,S,5 mph,0 mph,28.17 in,0.0 in,Mostly Cloudy,01,2020-01-06
12:00 ,77 F,70 F,78 %,S,3 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-06
12:30 ,77 F,70 F,78 %,ESE,2 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-06
13:00,77 F,70 F,78 %,E,3 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-06
13:30,77 F,70 F,78 %,ESE,6 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-06
14:00,75 F,70 F,83 %,ESE,5 mph,0 mph,28.22 in,0.0 in,Mostly Cloudy,01,2020-01-06
14:30,75 F,70 F,83 %,ESE,5 mph,0 mph,28.22 in,0.0 in,Mostly Cloudy,01,2020-01-06
15:00,75 F,70 F,83 %,ESE,6 mph,0 mph,28.22 in,0.0 in,Mostly Cloudy,01,2020-01-06
15:30,75 F,70 F,83 %,ESE,5 mph,0 mph,28.22 in,0.0 in,Mostly Cloudy,01,2020-01-06
16:00,75 F,70 F,83 %,SE,3 mph,0 mph,28.25 in,0.0 in,Mostly Cloudy,01,2020-01-06
02:00 ,72 F,70 F,94 %,ESE,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-07
02:30 ,72 F,70 F,94 %,SE,5 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-07
03:00 ,72 F,72 F,100 %,ESE,5 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-07
03:30 ,73 F,72 F,94 %,SE,7 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-07
04:00 ,73 F,72 F,94 %,SE,6 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-07
04:30 ,75 F,72 F,89 %,SE,7 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-07
05:00 ,77 F,72 F,83 %,SE,7 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-07
05:30 ,79 F,72 F,78 %,SE,7 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-07
05:30 ,79 F,72 F,78 %,SE,7 mph,0 mph,28.25 in,0.0 in,Fog,01,2020-01-07
06:00 ,79 F,72 F,78 %,SSE,7 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-07
06:00 ,81 F,72 F,74 %,SE,7 mph,0 mph,28.20 in,0.0 in,Partly Cloudy,01,2020-01-07
06:30 ,82 F,72 F,70 %,SE,5 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-07
07:00 ,81 F,72 F,74 %,ESE,5 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-07
07:30 ,79 F,72 F,78 %,ESE,8 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-07
08:00 ,79 F,72 F,78 %,E,7 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-07
08:30 ,81 F,72 F,74 %,E,6 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-07
09:00 ,81 F,72 F,74 %,E,7 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-07
09:30 ,81 F,72 F,74 %,E,6 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-07
10:00 ,79 F,72 F,78 %,E,7 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-07
10:30 ,79 F,72 F,78 %,E,8 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-07
11:00 ,77 F,72 F,83 %,ESE,7 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-07
11:30 ,77 F,72 F,83 %,ESE,6 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-07
12:00 ,77 F,72 F,83 %,ESE,6 mph,0 mph,28.11 in,0.0 in,Mostly Cloudy,01,2020-01-07
12:30 ,75 F,72 F,89 %,ESE,7 mph,0 mph,28.11 in,0.0 in,Mostly Cloudy,01,2020-01-07
13:00,75 F,72 F,89 %,SE,5 mph,0 mph,28.14 in,0.0 in,Mostly Cloudy,01,2020-01-07
13:30,75 F,72 F,89 %,SE,3 mph,0 mph,28.14 in,0.0 in,Partly Cloudy,01,2020-01-07
14:00,75 F,72 F,89 %,ESE,3 mph,0 mph,28.17 in,0.0 in,Partly Cloudy,01,2020-01-07
14:30,75 F,70 F,83 %,ESE,3 mph,0 mph,28.17 in,0.0 in,Partly Cloudy,01,2020-01-07
15:00,73 F,70 F,88 %,SE,2 mph,0 mph,28.17 in,0.0 in,Partly Cloudy,01,2020-01-07
15:30,73 F,70 F,88 %,E,2 mph,0 mph,28.17 in,0.0 in,Partly Cloudy,01,2020-01-07
02:00 ,70 F,66 F,88 %,S,6 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-08
02:30 ,70 F,66 F,88 %,S,3 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-08
03:00 ,72 F,68 F,88 %,SSE,3 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-08
03:30 ,72 F,68 F,88 %,SSE,3 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-08
04:00 ,72 F,68 F,88 %,SE,5 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-08
04:30 ,73 F,68 F,83 %,SSE,3 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-08
05:00 ,75 F,68 F,78 %,S,5 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-08
05:30 ,77 F,68 F,74 %,SE,5 mph,0 mph,28.20 in,0.0 in,Partly Cloudy,01,2020-01-08
05:30 ,82 F,72 F,70 %,SE,6 mph,0 mph,28.17 in,0.0 in,Haze,01,2020-01-08
06:00 ,79 F,68 F,69 %,ESE,5 mph,0 mph,28.20 in,0.0 in,Haze,01,2020-01-08
06:00 ,81 F,72 F,74 %,SE,5 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-08
06:30 ,84 F,72 F,66 %,ESE,3 mph,0 mph,28.14 in,0.0 in,Haze,01,2020-01-08
07:00 ,82 F,72 F,70 %,SE,5 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-08
07:30 ,84 F,72 F,66 %,SSE,8 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-08
08:00 ,84 F,72 F,66 %,SW,5 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
08:30 ,84 F,72 F,66 %,S,7 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
09:00 ,84 F,70 F,62 %,SSW,9 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
09:30 ,84 F,70 F,62 %,SSW,6 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
10:00 ,82 F,70 F,66 %,SSW,5 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
10:30 ,82 F,70 F,66 %,SSW,5 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
11:00 ,82 F,70 F,66 %,SW,6 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
11:30 ,82 F,70 F,66 %,SSW,3 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
12:00 ,81 F,70 F,70 %,S,3 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-08
13:00,77 F,70 F,78 %,CALM,0 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-08
13:30,77 F,72 F,83 %,CALM,0 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-08
14:00,77 F,70 F,78 %,CALM,0 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-08
15:00,77 F,72 F,83 %,ESE,3 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-08
02:00 ,70 F,68 F,94 %,VAR,3 mph,0 mph,28.14 in,0.0 in,Fog,01,2020-01-09
02:30 ,70 F,68 F,94 %,ESE,2 mph,0 mph,28.14 in,0.0 in,Fog,01,2020-01-09
03:00 ,70 F,68 F,94 %,SSE,2 mph,0 mph,28.17 in,0.0 in,Fog,01,2020-01-09
03:30 ,72 F,68 F,88 %,VAR,1 mph,0 mph,28.20 in,0.0 in,Fog,01,2020-01-09
04:00 ,72 F,68 F,88 %,W,5 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-09
04:30 ,73 F,68 F,83 %,VAR,2 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-09
05:00 ,73 F,68 F,83 %,NW,2 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-09
05:30 ,73 F,68 F,83 %,W,3 mph,0 mph,28.22 in,0.0 in,Fog,01,2020-01-09
05:30 ,75 F,68 F,78 %,W,5 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-09
06:00 ,75 F,68 F,78 %,W,5 mph,0 mph,28.17 in,0.0 in,Mostly Cloudy,01,2020-01-09
06:00 ,75 F,68 F,78 %,WSW,5 mph,0 mph,28.20 in,0.0 in,Mostly Cloudy,01,2020-01-09
06:30 ,77 F,66 F,69 %,WSW,5 mph,0 mph,28.17 in,0.0 in,Mostly Cloudy,01,2020-01-09
07:00 ,77 F,66 F,69 %,NW,2 mph,0 mph,28.14 in,0.0 in,Mostly Cloudy,01,2020-01-09
07:30 ,77 F,70 F,78 %,WSW,5 mph,0 mph,28.14 in,0.0 in,Mostly Cloudy,01,2020-01-09
08:00 ,77 F,70 F,78 %,W,3 mph,0 mph,28.11 in,0.0 in,Mostly Cloudy,01,2020-01-09
08:30 ,77 F,70 F,78 %,W,5 mph,0 mph,28.11 in,0.0 in,Mostly Cloudy,01,2020-01-09
09:00 ,81 F,70 F,70 %,NNW,3 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-09
09:30 ,81 F,70 F,70 %,NNE,6 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-09
10:00 ,81 F,70 F,70 %,VAR,2 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-09
10:30 ,81 F,70 F,70 %,VAR,2 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-09
11:00 ,81 F,72 F,74 %,VAR,2 mph,0 mph,28.09 in,0.0 in,Haze,01,2020-01-09
11:30 ,81 F,72 F,74 %,ESE,2 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-09
12:00 ,79 F,72 F,78 %,VAR,2 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-09
12:30 ,77 F,70 F,78 %,VAR,2 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-09
13:00,75 F,70 F,83 %,CALM,0 mph,0 mph,28.11 in,0.0 in,Haze,01,2020-01-09
13:30,73 F,70 F,88 %,CALM,0 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-09
14:00,73 F,70 F,88 %,CALM,0 mph,0 mph,28.14 in,0.0 in,Fair,01,2020-01-09
